La'Tangela Atkinson,176.8,425
Leaonna Odom,176.0,426
Kalani Brown,175.5,427
Bernice Mosby,174.8,428
Iciss Tillis,174.2,429
Tiffany Travis,172.8,430
Sonja Tate,172.0,431
Jaynetta Saunders,168.0,432
Asia Taylor,167.2,433
Angel Robinson,166.4,434
Linda Frohlich,165.6,435
Marie Gulich,165.0,436
LaQuanda Barksdale,163.2,437
Cindy Blodgett,162.5,438
Ashley Shields,162.0,439
Jocelyn Willoughby,158.4,440
JiSu Park,155.8,441
Trena Trice,155.8,441
Carla McGhee,153.9,443
Shereka Wright,151.9,444
Farhiya Abdi,150.8,445
Naz Hillmon,149.6,446
Beatrice Mompremier,148.0,447
Stephanie Mavunga,147.5,448
Kelly Santos,144.0,449
Keitha Dickerson,140.4,450
Tiffany Stansbury,140.4,450
Tricia Bader Binford,140.0,452
Tajama Abraham,140.0,452
Keisha Hampton,138.0,454
Bella Alarie,137.8,455
Toni Young,136.5,456
Shantia Owens,132.0,457
Charli Collier,130.5,458
Clarissa Davis-Wrightsil,130.2,459
Davellyn Whyte,130.2,459
Lucienne Berthieu,129.0,461
Kiara Leslie,128.8,462
Awak Kuier,127.4,463
Kasha Terry,127.1,464
Ally Malott,126.9,465
Amaya Valdemoro,126.5,466
Angie Potthoff,126.0,467
Octavia Blue,123.9,468
Erica White,122.4,469
Marion Jones,122.2,470
Megan Duffy,121.8,471
Lauren Cox,120.0,472
Olivia Nelson-Ododa,120.0,472
Joyner Holmes,120.0,472
Andrea Gardner,114.4,475
Milena Flores,112.0,476
Tracy Henderson,109.8,477
Alex Harden,108.0,478
Megan Mahoney,107.8,479
Paris Kea,105.6,480
Kim Smith,104.5,481
Jennie Simms,103.6,482
DiDi Richards,103.5,483
Brooke Smith,103.4,484
Stacy Clinesmith,102.6,485
Christy Smith,100.8,486
Cierra Burdick,100.8,486
Andrea Garner,99.2,488
Natalie Novosel,99.2,488
Naomi Mulitauaopele,99.0,490
Lexie Hull,98.8,491
Andrea Kuklova,98.6,492
Maya Caldwell,98.1,493
Meighan Simmons,97.2,494
Tiffany Bias,97.2,494
DeTrina White,96.8,496
Jolene Anderson,96.0,497
Liz Moeggenberg,95.0,498
Nadirah McKenith,95.0,498
Saniya Chong,95.0,498
Elena Shakirova,94.3,501
Veronica Burton,93.6,502
Maite Cazorla,93.0,503
April Sykes,93.0,503
Shanele Stires,91.2,505
Jocelyn Penn,89.9,506
Kamiko Williams,88.4,507
Jene Morris,88.4,507
Kathrin Ress,84.0,509
Brandi McCain,83.7,510
Ann Strother,82.0,511
Angelina Williams,81.4,512
Arella Guirantes,80.0,513
Jaime Nared,80.0,513
Mikiah Herbert Harrigan,79.2,515
Charisse Sampson,77.7,516
Tasha Butts,75.0,517
Lenae Williams,72.9,518
Tia Jackson,72.8,519
Morenike Atunrase,72.6,520
Victoria Dunlap,71.3,521
Jelena Milovanovic,70.4,522
Gergana Branzova,70.2,523
Jameka Jones,69.3,524
A'dia Mathies,69.0,525
Quianna Chaney,67.2,526
Jennifer Hamson,66.6,527
Jacki Gemelos,66.5,528
Lindsey Yamasaki,66.3,529
Iliana Rupert,64.6,530
Stacy Frese,63.0,531
Stephanie Raymond,62.0,532
Nia Clouden,58.8,533
Stella Johnson,58.5,534
Edniesha Curry,56.1,535
Evina Westbrook,56.0,536
Porsha Phillips,55.8,537
Khadijah Whittington,55.0,538
Gillian Goring,54.6,539
Toccara Williams,54.6,539
Katrina Hibbert,54.0,541
A'Quonesia Franklin,54.0,541
Camille Cooper,54.0,541
Jessica Brungo,53.9,544
Jasmine Walker,51.0,545
Raegan Scott,51.0,545
Alexis Prince,50.6,547
Shaquala Williams,50.0,548
Jasmine James,49.6,549
Samantha Logic,48.6,550
Tina Nicholson,48.0,551
Amanda Thompson,47.6,552
Sonia Chase,46.8,553
Rachel Hollivay,46.8,553
Rachel Jarry,45.9,555
Andrea Hoover,45.6,556
Carla Thomas,42.5,557
Candace Futrell,42.0,558
Kaayla Chones,42.0,558
Jackie Moore,41.4,560
Jasmine Hassell,40.8,561
Chastity Reed,38.5,562
Ashley Walker,37.5,563
Jacqueline Batteast,37.4,564
Kysre Gondrezick,36.1,565
Destiny Slocum,36.0,566
Adut Bulgak,36.0,566
Courtney Coleman,36.0,566
Alexis Peterson,35.7,569
Jaclyn Johnson,35.7,569
Jacinta Monroe,35.7,569
Lindsey Moore,35.0,572
Aisha Sheppard,34.5,573
Brittainey Raven,34.5,573
Nyree Roberts,33.8,575
Sug Sutton,33.6,576
Jannon Roland,33.6,576
Kelley Cain,33.6,576
Jordan Adams,33.0,579
Kamesha Hairston,32.3,580
Kamiah Smalls,31.0,581
Bashaara Graves,30.8,582
Jung Sun-Min,30.6,583
Gennifer Brandon,28.8,584
Danielle Crockrom,28.8,584
Zane Tamane,28.8,584
Li Yueru,28.8,584
Kianna Smith,28.6,588
Sharnee Zoll,27.5,589
Kierstan Bell,27.3,590
Nuria Martinez,27.2,591
Nadine Domond,27.0,592
Kathleen Doyle,27.0,592
Debra Williams,27.0,592
Christelle N'Garsanet,27.0,592
Rehema Stephens,26.4,596
Erin Grant,25.5,597
Albena Branzova,23.1,598
Leticia Romero,23.1,598
Jill Chapman-Daily,22.8,600
Paige Sauer,22.5,601
Ta'Shia Phillips,22.5,601
Catarina Pollini,22.1,603
Abi Olajuwon,22.0,604
Khayla Pointer,22.0,604
Jasmine Dickey,22.0,604
Ruth Hamblin,22.0,604
Ilona Korstine,21.6,608
Christina Wirth,21.0,609
Nicole Levandusky,19.5,610
LaNeishea Caufield,19.2,611
Shona Thorburn,19.2,611
Anita Maxwell,18.9,613
Jessica Bibby,18.7,614
Nikki Greene,18.4,615
Takeisha Lewis,18.2,616
Joy Cheek,18.0,617
Ashley Houts,18.0,617
Maren Walseth,17.6,619
Chucky Jeffery,17.0,620
Kimberly Beck,17.0,620
Alison Lacey,16.8,622
Charel Allen,16.2,623
Waltiea Rolle,16.2,623
Lauren Ervin,16.0,625
Yolanda Paige,15.6,626
Chioma Nnamaka,15.6,626
Jaylyn Agnew,15.6,626
Denique Graves,15.4,629
Aaliyah Wilson,15.4,629
Brene Moseley,15.2,631
Stephanie Watts,15.0,632
Monique Ambers,14.7,633
Amanda Wilson,13.5,634
Evelyn Akhator,13.5,634
Breanna Lewis,13.3,636
Chelsey Perry,13.2,637
Krystal Vaughn,12.0,638
Tanja Kostic,12.0,638
Jamie Weisner,11.9,640
Olga Firsova,11.7,641
Zuzana Zirkova,10.8,642
Rennia Davis,10.4,643
Makayla Epps,10.2,644
Sonja Mallory,10.2,644
