Tracy Reid,3.3,Above Average (Q2)
Olympia Scott,3.2,Above Average (Q2)
Suzie McConnell Serio,3.2,Above Average (Q2)
Kisha Ford,3.2,Above Average (Q2)
Jessica Shepard,3.2,Above Average (Q2)
Shakira Austin,3.1,Above Average (Q2)
Jessica Moore,3.1,Above Average (Q2)
Nicky McCrimmon,3.1,Above Average (Q2)
Kristen Mann,3.0,Above Average (Q2)
Kayte Christensen,3.0,Above Average (Q2)
Katie Gearlds,2.9,Above Average (Q2)
Rhyne Howard,2.9,Above Average (Q2)
Lexie Brown,2.9,Above Average (Q2)
Lindsay Allen,2.9,Above Average (Q2)
Katie Lou Samuelson,2.8,Above Average (Q2)
Ashley Battle,2.8,Above Average (Q2)
Jamie Carey,2.8,Above Average (Q2)
Jackie Stiles,2.7,Above Average (Q2)
Shanna Zolman,2.6,Above Average (Q2)
Trisha Fallon,2.6,Above Average (Q2)
Tamicha Jackson,2.6,Above Average (Q2)
Lisa Willis,2.5,Above Average (Q2)
Morgan Tuck,2.5,Above Average (Q2)
Bria Holmes,2.5,Above Average (Q2)
Alex Montgomery,2.5,Above Average (Q2)
Kayla Pedersen,2.4,Above Average (Q2)
Satou Sabally,2.4,Above Average (Q2)
Tynesha Lewis,2.4,Above Average (Q2)
Stacey Thomas,2.4,Above Average (Q2)
Adia Barnes,2.4,Above Average (Q2)
Gwen Jackson,2.3,Above Average (Q2)
Tasha Humphrey,2.3,Above Average (Q2)
Aari McDonald,2.3,Above Average (Q2)
Alaina Coates,2.3,Above Average (Q2)
Vicki Baugh,2.3,Above Average (Q2)
Lindsay Wisdom-Hylton,2.2,Above Average (Q2)
Vanessa Hayden,2.2,Above Average (Q2)
Jessie Hicks,2.2,Above Average (Q2)
Shalee Lehning,2.1,Above Average (Q2)
Markeisha Gatling,2.1,Above Average (Q2)
Kaila Charles,2.1,Above Average (Q2)
Han Xu,2.0,Above Average (Q2)
Alexis Hornbuckle,2.0,Above Average (Q2)
Ayana Walker,2.0,Above Average (Q2)
Pamela McGee,2.0,Above Average (Q2)
Andrea Lloyd-Curry,2.0,Above Average (Q2)
Polina Tzekova,1.9,Above Average (Q2)
Rachael Sporn,1.9,Above Average (Q2)
Felicia Ragland,1.9,Above Average (Q2)
K.B. Sharp,1.9,Above Average (Q2)
Laura Harper,1.9,Above Average (Q2)
Quanitra Hollingsworth,1.9,Above Average (Q2)
Amber Harris,1.9,Above Average (Q2)
Julie Allemand,1.8,Above Average (Q2)
Georgia Schweitzer,1.8,Above Average (Q2)
Chandi Jones,1.7,Above Average (Q2)
Chante Black,1.7,Above Average (Q2)
Kerri Gardin,1.7,Above Average (Q2)
Kristin Haynie,1.7,Above Average (Q2)
Sydney Colson,1.7,Above Average (Q2)
Kennedy Burke,1.7,Above Average (Q2)
Sydney Wiese,1.7,Above Average (Q2)
Maria Vadeeva,1.6,Above Average (Q2)
Tyasha Harris,1.6,Above Average (Q2)
Maggie Lucas,1.6,Above Average (Q2)
Shoni Schimmel,1.6,Above Average (Q2)
Tamara James,1.6,Above Average (Q2)
Scholanda Dorrell,1.5,Above Average (Q2)
Jessica Adair,1.5,Above Average (Q2)
Reshanda Gray,1.5,Above Average (Q2)
Jordan Hooper,1.5,Above Average (Q2)
Naz Hillmon,1.5,Above Average (Q2)
Megan Gustafson,1.5,Above Average (Q2)
Kate Starbird,1.5,Above Average (Q2)
Elena Shakirova,1.5,Above Average (Q2)
Summer Erb,1.4,Above Average (Q2)
Cintia dos Santos,1.4,Above Average (Q2)
Grace Daley,1.4,Above Average (Q2)
Tora Suber,1.4,Above Average (Q2)
Bella Alarie,1.4,Above Average (Q2)
Sasha Goodlett,1.4,Above Average (Q2)
Suzy Batkovic-Brown,1.4,Above Average (Q2)
Jae Kingi-Cross,1.4,Above Average (Q2)
Cathy Joens,1.3,Above Average (Q2)
Danielle McCray,1.3,Above Average (Q2)
DiJonai Carrington,1.3,Above Average (Q2)
Val Whiting-Raymond,1.3,Above Average (Q2)
Charisse Sampson,1.2,Above Average (Q2)
Beatrice Mompremier,1.2,Above Average (Q2)
Kalani Brown,1.2,Above Average (Q2)
Sonja Petrovic,1.2,Above Average (Q2)
Leaonna Odom,1.1,Above Average (Q2)
Michaela Onyenwere,1.1,Above Average (Q2)
Temi Fagbenle,1.1,Above Average (Q2)
Katy Steding,1.1,Above Average (Q2)
Amy Herrig,1.1,Above Average (Q2)
Sonja Tate,1.1,Above Average (Q2)
Trena Trice,1.0,Above Average (Q2)
Kelly Faris,1.0,Above Average (Q2)
