117,9,2019,Connecticut Sun,Kristine Anigwe,NULL,California,4,64,0.7,0.044,10.1,3.0,2.5,0.3
118,10,2019,Washington Mystics,Kiara Leslie,NULL,NC State,2,28,0.1,0.007,17.9,4.6,2.8,0.8
119,11,2019,Atlanta Dream,Brianna Turner,NULL,Notre Dame,4,118,9.7,0.120,27.4,5.7,7.3,1.6
120,12,2019,Seattle Storm,Ezi Magbegor,Melbourne Boomers (Australia),NULL,3,85,6.9,0.177,18.4,7.8,4.2,0.9
121,13,2019,Phoenix Mercury,Sophie Cunningham,NULL,Missouri,4,111,4.6,0.086,19.2,6.5,2.3,1.1
122,14,2019,New York Liberty,Han Xu,Xinjiang Magic Deer (China),NULL,2,50,2.0,0.116,13.6,6.5,2.6,0.6
123,15,2019,Chicago Sky,Chloe Jackson,NULL,Baylor,1,8,-0.2,-0.245,4.0,0.6,0.8,0.5
124,16,2019,Minnesota Lynx,Jessica Shepard,NULL,Notre Dame,3,64,3.2,0.100,20.1,5.7,5.8,2.6
125,17,2019,Dallas Wings,Megan Gustafson,NULL,Iowa,4,79,1.5,0.084,9.0,3.2,2.3,0.3
126,18,2019,Minnesota Lynx,Natisha Hiedeman,NULL,Marquette,4,110,7.6,0.141,19.6,7.1,1.8,2.3
127,19,2019,Los Angeles Sparks,Marina Mabrey,NULL,Notre Dame,4,116,4.0,0.064,21.4,10.4,3.0,2.5
128,20,2019,Minnesota Lynx,Cierra Dillard,NULL,Buffalo,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
129,21,2019,Connecticut Sun,Bridget Carleton,NULL,Iowa State,4,98,3.7,0.080,18.7,4.7,2.4,1.4
130,22,2019,Dallas Wings,Kennedy Burke,NULL,UCLA,4,92,1.7,0.057,13.3,4.9,1.5,0.7
131,23,2019,Atlanta Dream,Maite Cazorla,NULL,Oregon,1,31,-0.2,-0.014,15.4,3.0,0.7,1.6
132,24,2019,Seattle Storm,Anriel Howard,NULL,Mississippi State,1,3,0.0,-0.028,6.7,1.7,1.0,0.0
133,25,2019,Indiana Fever,Paris Kea,NULL,UNC,2,22,-0.3,-0.047,10.2,4.8,1.2,1.0
134,26,2019,New York Liberty,Megan Huff,NULL,Utah,1,7,-0.1,-0.323,2.3,0.0,0.6,0.1
135,27,2019,Chicago Sky,Maria Conde,Wisla Can-Pack Kraków (Poland),NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
136,28,2019,Indiana Fever,Caliya Robinson,NULL,Georgia,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
137,29,2019,Dallas Wings,Morgan Bertsch,NULL,UC-Davis,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
138,30,2019,Minnesota Lynx,Kenisha Bell,NULL,Minnesota,1,3,0.0,-0.162,3.7,0.0,0.3,0.3
139,31,2019,Los Angeles Sparks,Ángela Salvadores,Ensino (Spain),NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
140,32,2019,Phoenix Mercury,Arica Carter,NULL,Louisville,1,6,-0.1,-0.229,4.0,0.3,0.0,0.2
141,33,2019,Connecticut Sun,Regan Magarity,NULL,Virginia Tech,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
142,34,2019,Washington Mystics,Sam Fuehring,NULL,Louisville,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
143,35,2019,Atlanta Dream,Li Yueru,Guangdong Vermilion Birds (China),NULL,1,16,0.0,0.008,5.1,1.8,1.5,0.1
144,36,2019,Seattle Storm,Macy Miller,NULL,South Dakota State,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
145,1,2018,Las Vegas Aces,A'ja Wilson,NULL,South Carolina,5,149,23.8,0.209,30.5,19.1,8.4,2.3
146,2,2018,Indiana Fever,Kelsey Mitchell,NULL,Ohio State,5,153,5.4,0.048,29.1,15.9,2.0,3.0
147,3,2018,Chicago Sky,Diamond DeShields,Çukurova (Turkey),Tennessee,5,143,4.5,0.047,26.8,13.2,4.2,2.2
148,4,2018,Chicago Sky,Gabby Williams,NULL,UConn,4,125,4.3,0.062,22.2,7.0,3.9,2.2
149,5,2018,Seattle Storm,Jordin Canada,NULL,UCLA,5,144,4.9,0.059,22.9,7.7,2.1,4.4
150,6,2018,Dallas Wings,Azura Stevens,NULL,UConn,5,121,7.5,0.117,21.1,9.0,4.4,1.0
151,7,2018,Washington Mystics,Ariel Atkins,NULL,Texas,5,150,13.4,0.129,27.6,13.4,2.8,2.3
152,8,2018,Indiana Fever,Victoria Vivians,NULL,Mississippi State,4,106,-1.0,-0.015,24.6,8.3,3.2,1.6
153,9,2018,Connecticut Sun,Lexie Brown,NULL,Duke,5,123,2.9,0.056,17.2,5.4,1.5,1.5
154,10,2018,New York Liberty,Kia Nurse,NULL,UConn,4,121,3.4,0.043,26.3,11.0,2.8,2.0
155,11,2018,Los Angeles Sparks,Maria Vadeeva,Dynamo Kursk (Russia),NULL,2,40,1.6,0.167,9.6,5.2,2.8,0.5
156,12,2018,Phoenix Mercury,Marie Gulich,NULL,Oregon State,3,66,0.0,0.002,8.8,2.5,1.9,0.4
157,13,2018,Las Vegas Aces,Jaime Nared,NULL,Tennessee,2,32,-0.1,-0.014,8.9,2.5,1.4,0.4
158,14,2018,Indiana Fever,Stephanie Mavunga,NULL,Ohio State,3,59,1.0,0.078,8.4,2.5,2.5,0.2
159,15,2018,Atlanta Dream,Monique Billings,NULL,UCLA,5,137,5.6,0.085,19.3,6.2,6.0,0.8
160,16,2018,Atlanta Dream,Kristy Wallace,NULL,Baylor,1,29,0.8,0.056,20.8,6.6,2.3,2.2
161,17,2018,Minnesota Lynx,JiSu Park,Cheongju KB Stars (South Korea),NULL,3,82,0.1,0.003,9.8,1.9,2.2,0.7
162,18,2018,Dallas Wings,Loryn Goodwin,NULL,Oklahoma State,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,19,2018,Washington Mystics,Myisha Hines-Allen,NULL,Louisville,5,125,6.2,0.110,17.9,8.5,5.0,1.6
164,20,2018,Phoenix Mercury,Tyler Scaife,NULL,Rutgers University,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
165,21,2018,Phoenix Mercury,Raisa Musina,UMMC Ekaterinburg (Russia),NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
166,22,2018,New York Liberty,Mercedes Russell,NULL,Tennessee,5,115,6.6,0.126,18.3,5.2,4.4,0.9
167,23,2018,Los Angeles Sparks,Shakayla Thomas,NULL,Florida State,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,24,2018,Minnesota Lynx,Kahlia Lawrence,NULL,Mercer University,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,25,2018,Las Vegas Aces,Raigyne Louis,NULL,LSU,1,2,-0.1,-0.165,10.5,3.0,2.0,0.5
170,26,2018,Phoenix Mercury,Imani Wright,NULL,Florida State,1,1,0.0,-1.127,1.0,0.0,0.0,0.0
171,27,2018,Atlanta Dream,Mackenzie Engram,NULL,Georgia,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
172,28,2018,Chicago Sky,Amarah Coleman,NULL,DePaul,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
173,29,2018,Seattle Storm,Teana Muldrow,NULL,West Virginia,1,4,0.0,-0.095,2.3,0.0,0.3,0.0
174,30,2018,Dallas Wings,Natalie Butler,NULL,George Mason,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,31,2018,Washington Mystics,Rebecca Greenwell,NULL,Duke,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
176,32,2018,Las Vegas Aces,Jill Barta,NULL,Gonzaga,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
177,33,2018,Connecticut Sun,Mikayla Cowling,NULL,California,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
178,34,2018,New York Liberty,Leslie Robinson,NULL,Princeton,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
179,35,2018,Los Angeles Sparks,Julia Reisingerová,Femeni Sant Adrià (Spain),NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
180,36,2018,Minnesota Lynx,Carlie Wagner,NULL,Minnesota,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
181,1,2017,San Antonio Stars,Kelsey Plum,NULL,Washington,5,158,11.1,0.106,26.7,12.4,2.5,3.9
182,2,2017,Chicago Sky,Alaina Coates,NULL,South Carolina,4,83,2.3,0.114,9.7,3.0,2.8,0.3
183,3,2017,Dallas Wings,Evelyn Akhator,NULL,Kentucky,1,15,-0.2,-0.107,4.1,0.9,0.6,0.0
184,4,2017,Dallas Wings,Allisha Gray,NULL,South Carolina,6,180,15.6,0.121,28.7,11.7,4.2,2.0
185,5,2017,San Antonio Stars,Nia Coffey,NULL,Northwestern,6,146,0.5,0.008,16.1,5.1,3.0,0.6
186,6,2017,Washington Mystics,Shatori Walker-Kimbrough,NULL,Maryland,6,153,6.0,0.094,16.6,6.0,1.4,1.1
187,7,2017,Atlanta Dream,Brittney Sykes,NULL,Syracuse,6,182,7.8,0.066,25.9,11.1,3.9,2.5
188,8,2017,Connecticut Sun,Brionna Jones,NULL,Maryland,6,166,16.9,0.221,18.4,8.7,4.1,0.8
189,9,2017,Chicago Sky,Tori Jankoska,NULL,Michigan State,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
190,10,2017,Dallas Wings,Kaela Davis,NULL,South Carolina,5,102,-2.7,-0.065,16.2,5.5,1.8,1.4
191,11,2017,Los Angeles Sparks,Sydney Wiese,NULL,Oregon State,5,117,1.7,0.036,15.9,4.0,1.2,1.1
